	1068841_20180306_S	1112926_20171212_S	1128691_20171206_S	1128691_20171218_S	1128691_20180116_S	1162967_20180116_S	1255498_20171212_S	1282052_20180206_S	1316935_20180417_S	1316979_20171215_S	1447437_20171006_S	1465461_20180406_S	1470026_20180502_S	1565754_20171128_S	1565754_20180403_S	1586713_20180309_S	1593967_20180424_S	1593973_20180427_S	1593973_20180504_S	1598281_20180508_S	1651490_20171010_S	1651490_20180206_S	1658447_20171006_S	1664053_20180406_S	1690154_20180406_S	1723809_20180227_S	1834617_20180501_S	1845116_20180403_S	1862551_20180123_S	623361_20180123_S	634207_20180510_S	634207_20180517_S	639354_20171206_S	642660_20180601_S	650003_20180207_S	650003_20180213_S	652927_20180226_S	658355_20170925_S	658355_20171204_S	658355_20180122_S	658355_20180301_S	658355_20180321_S	670829_20170922_S	670829_20171001_S	670829_20171005_S	670829_20180201_S	673895_20180122_S	673895_20180205_S	676138_20171001_S	676138_20171009_S	676138_20180130_S	676138_20180323_S	676138_20180405_S	698564_20171001_S	698564_20180215_S	698564_20181205_S	698917_20171207_S	698917_20180119_S	698917_20180128_S	698917_20180329_S	701099_20180504_S	701099_20180517_S	715927_20180205_S	715927_20180213_S	717449_20180606_S	720054_20170925_S	720054_20171120_S	748160_20180321_S	748160_20180329_S	748699_20180329_S	748699_20180410_S	748699_20190101_S	748699_20190109_S	748699_20190114_S	752797_20170918_S	752797_20170927_S	752797_20180306_S	753522_20180606_S	756934_20181205_S	756934_20181218_S	763742_20170925_S	763742_20180129_S	768745_20171123_S	768745_20171206_S	768745_20190228_BAL	768745_20190228_S	770560_20181211_S	770560_20181218_S	770560_20190109_S	770590_20170925_S	770590_20180115_S	773911_20171213_S	773911_20180130_S	777599_20180306_S	777851_20170918_S	778851_20171204_S	778851_20180212_S	785991_20171129_S	785991_20171206_S	785991_20171213_S	785991_20180215_S	785991_20180321_S	788707_20171213_S	788707_20180129_S	788707_20180301_S	788707_20180308_S	788707_20180313_S	788707_20181116_S	788707_20181126_S	802187_20180321_S	802971_20180605_S	810653_20180115_S	825012_20171123_S	825012_20171129_S	825012_20171206_S	825012_20181113_S	825012_20181120_S	825012_20181126_S	848255_20190228_S	875028_20180115_S	877469_20190115_S	892355_20180123_S	895293_20180502_S	896213_20180427_S	913873_20180417_S	980574_20180403_S	983493_20180123_S
Cell Envelope	29844.6857449938	25161.3519793825	48689.5215774141	45642.2681163387	49251.3804919973	38632.0430847257	28306.8125028291	18320.5614562534	31907.532816972	23785.7285837078	26632.5843575438	28850.9061615334	35134.9120401922	31196.6924427105	29570.9710614937	26311.5330630278	29592.6572884029	28976.3766119804	29932.0264840059	30154.8709850313	27218.3090241299	20632.6107814046	30760.2265200862	29708.2312888712	27977.4527347577	29565.1129957224	25830.0724416988	31774.1778440881	33803.5043138953	30092.4691482355	34312.1261355349	33370.4135655528	40583.4836844977	30782.6755294545	25784.5576946866	34071.5168289973	32636.4473127912	29164.0555779666	29534.2461999174	27447.7623208688	28168.987637023	27688.1833353905	32655.902220873	30998.519169429	28061.7930456357	32860.6372927033	32021.286853215	28019.5329419913	28151.5262011571	31564.7794366485	34032.8071755562	34837.3164650106	30645.9014089897	27689.3264656389	28348.2542127683	25168.2498021498	34734.1344947624	29434.0664143205	30652.8014335293	23595.7380118256	28129.2280749384	33570.5820769953	28990.7766828585	28747.3599457321	25881.8195865084	29341.2039691079	28237.8398544658	34569.108136924	33501.2765405454	28100.0982320658	33067.4791631734	27492.1561299919	26408.6371581072	28672.8021468542	27972.0764452339	29090.4986209749	24271.9564556516	26237.1154893141	34566.8884526195	32713.1702206732	31423.23995274	29471.1379586844	31893.2563201528	33200.4761131251	27110.0275028021	29758.952450261	30459.1570370008	29521.0874352924	24581.2062222466	38508.6750049203	26768.1082501004	31820.6165342449	28800.7418739335	26086.7462284197	30586.7991561798	32311.9918291966	30515.5876323593	33982.7916399818	33504.1574997062	36309.3559983239	30780.1103420457	36407.2969205207	27412.1244485194	29255.9561454575	27104.1773262258	27225.1676536055	28409.7806453084	27068.4474815249	25475.4778853777	30706.2136388905	32824.610054597	28858.9236786683	30229.0134926329	33245.590043578	32293.1767155446	29283.9121222071	26084.1128018832	28664.1326370986	28190.6955986425	29204.853964134	29425.2277655689	16095.3544625042	29537.229824639	26897.339608005	31066.1620976516	28862.0948177096	32546.9761889176
Cellular Processes	75719.3471568698	74214.6165946208	64329.7875235423	67594.8014659087	63725.7975868594	71701.6053525278	79638.2669775052	75680.966892179	77009.7247325477	72657.2832135507	76876.7809582285	76446.1212145271	72004.3773038689	77524.0291368412	78298.7780217293	77222.878107537	76623.9608439416	76506.6541879309	77944.0513018608	74915.3202939724	71252.055783833	72025.8148594144	76173.4639992819	73892.6367496064	75635.5800573338	76608.2172014942	74781.6960232218	74854.6338341288	66437.7082186077	77018.7384530067	75902.4692783975	74063.68111213	67826.2451018472	76255.9483061011	54953.4656519133	65810.3599099579	71117.8553697829	77292.01818948	73992.8818586485	80874.1924485089	81420.1636936416	81059.3954959807	72754.0891240808	74030.1543234821	78115.1340597094	68311.8475199514	60895.8012734876	77703.751106965	64801.8329024088	77162.4654301051	71172.0581413752	65077.0621638771	72834.9158543599	60967.8426321436	80283.9492705318	82756.635296378	76793.6542904408	79893.2022567456	74356.4668805138	61574.3712103282	86599.5985878271	73842.2112235226	81283.1761174645	78938.557022931	79655.5770039524	78462.0255603701	79563.7558189265	89653.1696843307	99927.4454311202	77643.0718254612	74890.9021218395	77526.0083465531	78564.0833556769	79810.1267064205	72080.8404212986	74551.5101734685	78339.5843920867	80306.3093705851	80701.4830564401	76248.6137449856	78873.4471359916	78018.6550104037	75972.9348178209	74802.6704948006	59910.9996629683	76405.4021233757	76774.314701895	80824.8745519963	74284.1403900429	72023.2476158249	80819.5996025292	79196.6329232009	80051.4572015885	84521.9020471363	76591.7345812753	75831.5837349226	74987.8208151122	79815.5071427892	81751.8148997237	73584.5764809531	77531.4223010845	73954.7536008673	82945.0846371167	74599.3279044282	78740.9131538785	85398.9842657478	78863.0303889451	78091.8206679018	82441.7298344167	75475.7134308961	76700.3419495219	77584.6297242779	78683.7487457125	76509.7249022335	78219.3955432365	76763.3383949338	81882.9053249428	76502.2730751315	79534.2825999751	77665.5706820767	72408.7130067567	74672.4144322256	80689.7129118227	72412.7663657812	73149.2262132529	78563.2162038999	67081.5200810107
DNA Processing	116062.34816822	103146.443168681	59922.7067135487	65996.6361425427	55547.3527224406	83281.6330893276	118464.278641158	96502.3080247543	110853.617066237	97254.4217808944	109795.470504369	114666.319781813	104811.041000608	114665.807165663	109004.633048598	109009.185095781	112674.564517102	109396.485556464	109912.715822655	109736.738120937	101826.545752634	97223.2135041067	116630.82237432	111894.698940154	101575.417247292	110867.105521338	102585.87519229	109736.521828647	103871.144292002	113587.822940156	109526.733445775	104865.544064795	85191.4852314386	117347.267288794	78062.8897962425	93092.208392325	100988.666120549	121901.419557884	113691.160781079	115445.14524063	119234.580928548	114150.742401422	108168.180710036	110588.753160866	113516.895795238	94021.0748707481	79730.3329084397	109451.755453397	75826.4684281799	107362.528912576	96983.242062789	87591.3582572142	101113.611648454	79806.5813977479	128063.295402665	115483.227248572	100683.423027055	110813.071658386	109283.022087892	102043.499799922	122715.487429502	105560.111288309	113249.694016772	105648.350626861	114442.658201682	114440.276730472	117498.374713026	113422.839989611	117819.496345413	114596.228498206	94839.8472750402	117471.333555389	117090.475549719	117545.55463606	116373.716853296	103086.657534772	114633.661400912	114570.069957671	115275.408489831	115833.037606294	117984.19690921	116265.973382856	111256.90426456	114908.423138449	84823.8903043831	113225.644155323	110489.454155088	111598.653473818	119460.404935379	103886.29089705	114413.920145717	117871.370347787	113649.186804369	115091.004392208	110991.871871266	105730.460766978	111089.465804277	116827.479118179	116888.414003059	108640.625272427	104570.972964211	104775.058151694	118732.173396507	117248.479877271	117834.105290915	118914.30658472	130608.542253806	117677.226116513	123967.950423883	107006.231122154	111994.214847964	116378.890153701	111131.734654318	106886.955676942	109917.573185813	112032.14434296	123718.42566063	118452.819895684	115281.66896507	114515.595231442	134145.255242604	96174.5831849647	113251.687070512	105974.290349789	115332.473295194	113141.16040236	81172.3746832406
Energy	86675.9311293786	91246.8658528291	98699.9579333127	99890.5810003469	101192.539484403	100620.49979588	89988.0856844831	95748.6903209524	89867.4150397367	95914.7976883311	87319.7356059341	91239.5416370872	100267.574859622	92327.4126523148	88352.0917584659	83489.0979821631	94579.9985183042	87083.7531416422	86612.2883373732	92324.9044907114	94529.2618687817	95307.3300624048	85188.4731384921	95172.0291305955	95662.5494893488	96567.8378040566	90870.5422346313	93401.808488897	90208.2878949446	90299.336490167	94467.9128414166	97618.6629789959	98138.2375601122	77483.3203145004	181765.640041834	96359.1738538474	98135.4722366562	90106.178198695	94450.6968147153	87034.0952750921	85043.57731662	88434.6462771966	94655.4801536497	89340.5398547825	94024.1337014311	99216.0279388736	103632.351554575	102026.332240068	113551.682364578	100263.310849996	100727.575177437	106498.362747523	108446.987591943	127161.965440289	72896.155474971	79250.6879293435	94824.5998558517	88012.106885675	122800.950746013	148826.290078745	92617.3856031327	93204.0503208096	89846.9014046297	101173.968697527	92547.7473175279	87312.5157501063	90091.2121276209	89443.2042633006	93352.8763867089	87257.9201141808	103201.656989335	86695.4885471194	86247.2603979821	88267.26460587	91384.3059980614	135070.180023193	76596.2973952116	82726.168942989	89077.6210907397	84721.9069831659	89778.4217798735	86994.0238259277	95649.8691864811	91277.2851727159	163242.466316142	88867.7134303683	93107.4694010494	87365.0911733278	76630.7160165325	84559.6276426585	84295.597159374	83687.8122289397	90049.8817104343	90261.4756615024	95728.2505458819	99194.0413108678	93644.240123325	87533.3667455065	87490.4172354475	92156.8219544593	88269.3530087977	90834.9570325398	90712.8477650953	84450.8157817733	89842.2108637628	92443.2887256988	79781.7982762708	82894.8172677472	84653.9295151386	102119.891602508	98815.2120581417	87361.719960599	87047.4580116664	88530.9830260556	89189.1144717079	89379.0543611002	78149.6646304933	82440.2763927948	86260.236577533	88629.6793151123	66560.7761929791	99822.4875659037	86786.2888148002	106129.164724647	96010.1730620438	93637.5215558176	102355.444331356
Membrane Transport	68903.135348466	77210.7978562784	138173.525275352	126419.100120879	150707.954293208	108056.16792948	62085.4090013552	67177.2820261389	93793.6651206585	80462.0237284569	72885.8033815152	78700.084670483	102928.985259732	80796.3391372177	80235.7994900908	57518.0177903348	74839.5066436702	70877.7302965445	63873.5956743477	87743.9566266381	91936.9633783818	72011.0298384064	77216.8837304723	73554.9667314871	75288.5285296454	69708.1312344328	80114.9279999569	90639.0656219543	117812.354752307	75299.6621168881	104499.727439132	97335.4989415692	121812.721732344	67724.9984986902	66345.7800924389	131484.10084155	100756.377439511	53833.2973634275	74755.1779735168	62137.8439383498	65041.4646335071	60754.3973951102	94322.5637818796	100812.866515879	75791.7663577265	105581.589007945	103652.103047133	64447.3871823243	103861.028055984	52909.489581599	99927.1675216422	109287.207685333	67844.585422515	106292.273898338	67072.859425865	75704.5139697977	102055.992942114	72125.5008116376	68362.4706073004	94257.1479136771	61285.9413463242	88412.8363421557	64685.0440265996	72979.5245883994	57450.4576330272	70469.3605878045	70490.9075742959	79268.6896076975	53430.5882857011	77970.2808356103	80984.4262770989	59266.6702375511	66154.5242708685	56750.6254577723	71154.7020257123	61187.4883998459	60913.4413733454	66926.4804642214	56754.6127143472	80531.8896518139	70010.9588530677	77482.1215656497	84134.1104716299	81435.6029922032	80741.7781028982	70385.4673030496	89106.8250905987	59327.4160778465	68578.7541053736	145763.503482645	68098.5434518609	63598.5532950011	86597.8513877068	76343.6659248722	68603.8173886715	81065.9500834301	67809.0276469945	60198.8845913024	55952.6882179601	91282.2069853994	74713.392254834	107183.993944669	75654.1908122952	78285.097699248	63814.9413737394	76399.091847445	63436.1999403846	63982.3670559572	77634.4813889661	69250.1073971337	55504.2037106675	60292.8990743376	66044.1173454519	61470.6386835519	65774.7612303997	92329.9212577729	66411.7318973493	85267.8748523993	61960.6074273587	59214.9150827766	67545.2112326439	63185.4650987126	79125.0667342996	68275.256870717	66367.7606147593	71601.4047497463	118900.310693685
Metabolism	330156.124461015	337601.348115078	342168.49522583	334614.718150964	340551.489397965	336891.028360321	333857.72061853	357650.816969839	306467.680090594	345713.182887627	329481.287153468	319007.371367068	316910.70203053	312633.520627792	325782.648132059	341524.971797725	326899.417753723	333716.169111081	332182.91763739	318892.621970302	329300.692444955	350971.73676846	322833.681724854	323410.9514933	338819.084891584	325116.172896044	338540.982773825	309545.232231639	311575.643413017	318547.225536722	305937.125191736	313295.06005215	334282.945457724	328954.209273655	335176.735503571	301875.77034105	327807.969441724	344728.353635815	329948.95948833	328288.100376832	332655.332047441	339183.081631265	330601.594855016	313093.52196261	326249.40199723	333839.95369488	376179.15260114	350145.484588156	380086.925297735	353062.186943572	329359.589786424	344499.46698941	348701.031588993	322617.265738689	331617.378415678	321337.347031275	317924.804138733	331351.526408552	324783.954533054	292363.831240507	328879.886507347	332928.916221834	338215.763630988	334125.799295105	332953.359414037	326373.782472059	321848.346033187	312799.017395059	313332.549349001	326714.306075996	349913.776363685	350996.729027719	338148.938949	351050.565535205	347252.932706957	323715.683005322	341497.822768788	332845.739979782	355619.493912093	323505.605151358	332446.256886611	326257.15401225	327763.654924107	328552.484962681	333388.504737736	332575.060213972	316270.30581662	343920.744405276	343952.997232963	305292.618240942	328283.588980629	343185.486334083	321766.462663171	328742.062279023	335990.120443555	328191.295284614	333207.549439663	348494.099046543	351674.30652184	327213.672669236	326071.68329213	311221.259330657	324596.026111677	333214.293840006	342273.606120327	308485.756354965	334602.361548563	338834.421733378	324688.538840984	333663.353217529	361570.541052367	342694.00263127	332517.526536667	345541.724174501	336205.298983199	314246.982096518	323826.306760677	319703.572341928	335862.267043468	350223.540440603	320157.850101371	359741.092700833	331396.533472925	336612.372774201	336745.119909222	328506.265347017	341867.799178338
Miscellaneous	7401.37219903969	12348.3963070237	29649.2430075	24609.5978425449	27729.6361680198	13884.8202436915	7821.6100442433	8557.58862718411	14120.9158764869	10671.0968159478	12183.1723136841	13957.1073132777	18612.5195634302	11753.7272243108	9205.68844975771	4764.77856034691	6537.19088914666	9594.01859495136	5765.89483802277	9743.79605323843	15130.6545821089	9790.02398258052	9631.88688528471	6706.24859970436	9589.68157405525	6473.21259728655	9552.12932598149	14536.456128078	22882.2803706733	7559.26487486413	11397.3212492117	14369.7340810217	12755.3602704792	9288.36911741662	12665.1041721621	26042.546460185	11995.7021332906	4176.24364021983	8166.27867228332	4991.99810121029	4364.40694887444	4206.63659110119	7477.31831310047	13678.3944374481	6767.04934597023	11311.0362841609	8201.10792915488	3229.27479722572	15242.491017271	2077.43159769795	12405.4793225164	15053.5371503732	2110.84529751902	34615.2488755005	3721.62775348115	9403.18320560484	12654.8073043929	7995.94670084099	10177.7427978295	55225.882388061	3143.9879076553	8985.0865860503	4368.85931859267	3618.6945710532	4521.64629412824	6637.49083328537	6793.44435538902	5192.02931428906	3547.45975921436	11087.7253223228	8454.8076435659	2759.45663595512	2372.86949189356	1738.52154846278	5218.87749649197	6823.43895947025	7711.93771960727	7469.99912778277	4075.00654088777	8664.6662208091	6394.3343972723	6621.43000076341	3971.14284050452	4631.86992671228	42862.1781155906	5776.87315298347	10070.8303876563	3688.5174859335	3806.64348032987	4470.58840826805	6623.49452628956	3046.53743114792	6435.83469614708	3564.09549525832	5673.28977971911	9167.36254703519	5268.72022176133	3460.60534781479	2472.10348649256	7450.5624145356	5313.58729631227	8741.00772755472	5058.60116872702	10448.6957510761	6511.55755887984	3053.47759179662	5565.10335893269	5237.1323051138	3949.31730247236	5949.28644489838	1962.43540266063	5807.95736702394	8504.11411178624	7484.90640925283	5744.46311798213	14122.3487120728	5666.09187877393	8512.12344976454	4525.26938537299	4148.25315511578	10062.3781013952	7118.26732635938	8747.971423808	16143.6250421331	9584.17044646248	7740.03967232806	19844.4384609036
Protein Processing	129262.561154815	111404.171985726	86233.7331747427	95956.3163727786	81716.3974963382	102827.550312848	129653.395850859	100153.947170489	128075.821512573	104066.336192465	120722.428479242	128363.970455394	116485.515172392	125166.599693437	126870.836138566	135313.539827676	126840.347588316	129529.62976853	133937.721284077	127228.754682324	114703.75320668	103067.126016351	128923.339185788	134914.744207318	124090.995444023	131447.632843574	117329.699085972	131704.193819091	120919.881261675	131464.535134478	132591.364761734	132876.155429105	105629.743727533	126838.139965947	128856.737366096	123286.945533404	123398.373971059	125608.146905346	126415.235178198	133813.36723691	128234.231628181	130058.22020417	122601.619001393	128357.457039233	133002.621925492	111677.558072081	104321.110683464	119610.721606171	82849.2664885713	120821.975939036	115136.472533911	104594.98302411	117851.089032642	104173.226989307	130506.365425096	125039.4105177	125691.359566975	127634.74700591	114522.529319722	101735.030907304	126665.780810738	125609.156347489	130235.932596883	134617.257854379	135736.175921062	128669.01399256	129078.230115549	134122.640517043	143084.165554941	125125.200222905	120996.251751493	126366.313306964	128759.245024848	123692.459613931	122581.011212046	119663.635010338	130158.231310107	131946.155389149	120419.342321086	127194.65269544	124090.58934135	125969.11468129	126668.662596794	127043.433413031	74954.7837466756	127070.102863736	128882.656998335	128794.625963252	125187.525042206	120962.64452767	130317.783248645	126351.750142861	124945.782618475	123804.359668151	130816.681675242	129050.978027339	132736.881955013	122658.325119527	123999.527981348	126953.575531057	131588.259506466	126844.834765566	124327.992092861	122783.577243561	122893.342670771	129678.537527409	123373.406054773	126476.796997346	118881.346136566	136606.411063613	118549.063816871	124941.206996648	130138.414478564	125898.913635591	131047.991157922	127073.405699704	129013.391439002	126457.521165507	128431.222025112	124541.73775921	129218.514019051	99217.4256154376	120505.09061827	120440.050866127	122545.186260286	124465.82389661	98558.5479527025
RNA Processing	61130.6315643485	53292.4364014846	33582.0814430727	39166.645481709	32178.0576554559	44982.1537585692	60466.2000342947	49646.9164419352	57430.4576331585	51767.2276269121	57684.7228196702	61087.5750532379	55604.3620008595	60046.9925825913	57679.2199056483	62136.8805537457	59452.9917871686	61524.2308995007	62789.1409826673	59149.0878488635	55271.2778974784	49874.9814788363	60186.4956029793	59428.6948657559	55343.1157753027	61556.1500952056	55830.1368519307	60349.3656313957	54218.3381932531	63542.9966348043	62249.2623273188	57571.382095214	46244.4785102435	64093.776571397	43840.1347807648	56116.008725974	54430.0887364552	57616.7590199882	60813.8113618481	61928.5232509578	60301.865007289	59265.5577769132	56198.4770402663	58243.4117418041	58432.7838595277	58563.9459087214	42900.5809167058	55041.2260670325	40860.7139927452	52573.9973818027	53176.3424384815	47553.5970710616	50814.9089087044	44133.2453851125	61793.6207278415	60046.9210124228	55712.4953153149	56403.8203417428	54262.9566464461	45484.2357469958	59139.6320892378	57321.8055192081	57559.2741951137	56006.3517719572	60665.8666071433	60914.1335890873	61987.3970881508	61896.1371853394	61868.4780686895	60697.6097833942	51379.3739994308	57664.1078927027	59193.6686454111	57826.5311734542	56129.3900406949	57295.9131725445	62069.3299766596	63017.3178764642	53701.1081779265	60302.6778146582	59228.2360341359	62545.6616075691	57168.2131408271	57795.312826799	42345.9109842263	60973.2392356517	58686.743066475	59086.669890341	60806.4619858701	58094.6823140585	61710.6923444257	57251.0528900642	59617.7004638093	62882.8950628937	59294.9423563081	58441.2714732708	61649.7651691382	59241.0145082732	57703.6482927448	58209.3198496269	61920.953044974	59761.8090857391	61807.8231922112	58815.997477156	57885.916257242	66318.9463006399	61057.0778896592	60513.3067876504	63144.0357708511	61968.959371845	53342.6397975532	58959.2750885242	60849.3487271434	59248.1874943711	59641.6047971899	59686.6561975691	64712.4878653215	61050.8021709555	59943.4770111623	57866.2985720655	61999.3169878545	48294.2233332052	58328.4484912981	55012.154085337	59634.6592069123	58454.4116943923	43950.3788779027
Regulation And Cell Signaling	18560.6531678586	15126.5203641217	15810.7248509808	14362.250643892	16405.6355865169	15331.1040032184	12464.1464929417	15642.1297682324	15300.3847776568	13460.6380806032	16314.6500423424	11553.2763027055	8289.55437623526	19183.9118321922	15894.7184333357	14985.30022569	14290.6642057924	12324.2041287793	13083.0284939079	13039.7784696311	11633.8967735531	13847.0762940058	13264.2761365843	13324.2164202055	13702.0394500709	11872.8606733705	14093.2345753807	10012.728053882	7807.46503679573	13964.2743009573	9277.23787343365	8822.9878133951	11321.2850327776	24243.4362453862	8723.73321825917	9292.38218066155	10719.1751209127	11784.023042029	13556.9359618835	14795.3904801195	16224.4966016098	12348.4252570034	9680.98780714408	11419.7003495786	11681.4545017365	10887.0353080406	9805.21734404348	11831.9909955653	11859.577229549	11713.8050133621	11173.8879849653	9216.73755328216	14796.2373131437	14824.7104589349	23100.5373909269	26150.3694603382	10357.3525046109	16638.3428679194	12391.4346032777	8358.51192900382	13203.1600017524	10903.1694797629	14095.7715992029	12023.9050884509	13284.8795203955	19397.7383893104	15451.4463279005	9565.94366409922	10613.5335579747	14233.8420637796	13133.6960845458	14710.2071804171	17609.1641280435	14986.681371975	16419.6369374347	12786.3522931986	26982.7055309842	14103.2039466539	10506.3114036305	13714.2987953016	13252.8808328611	13321.6000915896	12485.1667677375	13445.3085949478	12354.3925156702	18417.4863934328	11657.488893886	12905.3574156417	30296.6256278697	7622.09854837539	19847.4448435976	15189.1964737734	12769.731626602	13236.6266127016	12205.1941037576	9744.92077439257	14978.8245139373	14361.6334366701	14296.532263333	12341.3856701268	14058.1071639284	9878.90778271034	14360.5108265897	14156.271519637	13739.5395937193	14248.3236408677	15155.2954712928	16034.8780306048	17651.2911785081	11423.5079785526	11981.1500543995	18251.3620723789	14946.4446271677	12773.3391543908	13252.6649135307	10853.0889837871	17115.759999342	14817.1931792483	21381.0135884765	14116.1791294506	32557.1297000014	14803.6706520421	13039.1645380855	16588.8447712234	18130.1229337119	12631.1602002442	15652.191092056
